artists,name,year,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,genres
Bronski Beat,Smalltown Boy,1984,72,0.28800000000000003,0.685,0.584,0.009179999999999999,0.124,-10.616,0.0276,0.9390000000000001,134.546,302413,dance rock hi-nrg new romantic new wave new wave pop sophisti-pop synthpop
The Smiths,This Charming Man - 2011 Remaster,1984,72,0.00509,0.611,0.846,0.0,0.0784,-5.9,0.0436,0.7509999999999999,103.912,162920,dance rock madchester new wave permanent wave rock uk post-punk
Radiohead,Creep,1993,82,0.0102,0.515,0.43,0.00014099999999999998,0.129,-9.935,0.0369,0.10400000000000001,91.84100000000001,238640,alternative rock art rock melancholia oxford indie permanent wave rock
Red Hot Chili Peppers,Under the Bridge,1991,81,0.0576,0.5589999999999999,0.345,0.000105,0.141,-13.495999999999999,0.0459,0.45799999999999996,84.581,264307,alternative rock funk metal funk rock permanent wave rock
Coolio L V,Gangsta's Paradise,1995,81,0.0655,0.647,0.514,0.0,0.39799999999999996,-10.05,0.0593,0.387,79.97399999999998,240693,g funk gangster rap hip hop rap west coast rap
Red Hot Chili Peppers,Californication,1999,81,0.0021,0.5920000000000001,0.767,0.00165,0.127,-2.7880000000000003,0.027000000000000003,0.32799999999999996,96.48299999999999,329733,alternative rock funk metal funk rock permanent wave rock
R E M,Losing My Religion,1991,81,0.179,0.6659999999999999,0.855,1.2e-06,0.0987,-5.051,0.0295,0.8029999999999999,125.639,268427,melodic rap rap trap
Guns N Roses,November Rain,1991,80,0.0163,0.294,0.6409999999999999,0.22,0.11199999999999999,-9.316,0.0291,0.226,79.759,536067,glam metal hard rock rock
Backstreet Boys,I Want It That Way,1999,79,0.257,0.6890000000000001,0.6940000000000001,0.0,0.14800000000000002,-5.83,0.027000000000000003,0.48200000000000004,99.039,213307,boy band dance pop europop
TLC,No Scrubs,1999,79,0.0251,0.743,0.675,0.000717,0.0685,-4.2669999999999995,0.0953,0.59,92.90899999999999,214400,atl hip hop dance pop girl group hip hop hip pop new jack swing pop pop rap r&b urban contemporary
blink 182,All The Small Things,1999,79,0.0103,0.434,0.897,0.0,0.612,-4.918,0.0488,0.684,148.726,167067,pop punk punk socal pop punk
Smash Mouth,All Star,1999,79,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,0.7759999999999999,104.01899999999999,200373,alternative rock pop rock
Spice Girls,Wannabe,1996,79,0.10099999999999999,0.768,0.8640000000000001,0.0,0.162,-6.145,0.0324,0.8909999999999999,110.008,173027,dance pop europop girl group pop
Green Day,Basket Case,1994,79,0.00293,0.442,0.943,8.71e-06,0.091,-3.205,0.0602,0.7809999999999999,85.064,181533,permanent wave pop punk punk
The Cranberries,Zombie,1994,79,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.97299999999996,306427,irish rock pop rock
Rage Against The Machine,Killing In The Name,1992,78,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,0.6609999999999999,88.785,313573,alternative metal alternative rock conscious hip hop funk metal nu metal political hip hop rap metal rap rock rock
Dr Dre Snoop Dogg,Still D.R.E.,1999,78,0.16,0.816,0.775,0.00031,0.0543,-3.323,0.23399999999999999,0.527,93.431,270587,g funk gangster rap hip hop rap west coast rap
4 Non Blondes,What's Up?,1992,78,0.161,0.565,0.564,0.0,0.114,-10.044,0.0292,0.45399999999999996,134.355,295533,new wave pop pop rock
John Denver,"Take Me Home, Country Roads",1997,78,0.546,0.255,0.43,1.87e-05,0.188,-12.564,0.0322,0.546,164.267,197813,adult standards classic country pop folk folk rock mellow gold soft rock
The Verve,Bitter Sweet Symphony,1997,78,0.0335,0.35600000000000004,0.917,0.0,0.406,-6.006,0.0479,0.518,171.176,357267,alternative rock britpop modern rock permanent wave pop rock rock shoegaze
Red Hot Chili Peppers,Otherside,1999,78,0.00316,0.45799999999999996,0.795,0.000202,0.0756,-3.265,0.0574,0.513,123.229,255373,alternative rock funk metal funk rock permanent wave rock
Lou Bega,Mambo No. 5 (a Little Bit of...),1999,77,0.10300000000000001,0.622,0.807,0.0,0.306,-6.7520000000000024,0.408,0.892,174.06,220293,latin pop
2Pac,Ambitionz Az A Ridah,1996,77,0.00253,0.8009999999999999,0.9079999999999999,0.000655,0.0698,-6.553999999999999,0.221,0.805,87.279,278387,g funk gangster rap hip hop rap west coast rap
The Goo Goo Dolls,Iris,1998,77,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072000000000001,0.0362,0.4970000000000001,155.925,289533,alternative rock neo mellow permanent wave pop rock post-grunge
Guns N Roses,Knockin' On Heaven's Door,1991,77,0.0211,0.496,0.7390000000000001,0.0044399999999999995,0.106,-7.193,0.0415,0.37799999999999995,132.41,336000,glam metal hard rock rock
Britney Spears,...Baby One More Time,1999,77,0.20199999999999999,0.759,0.6990000000000001,0.000131,0.44299999999999995,-5.745,0.0307,0.907,92.96,211067,dance pop pop pop dance pop rap post-teen pop
Counting Crows,Mr. Jones,1993,76,0.183,0.578,0.8170000000000001,3.06e-06,0.285,-6.5420000000000025,0.0363,0.726,141.621,272293,alternative rock mellow gold neo mellow pop rock rock
Whitney Houston,I Will Always Love You,1992,76,0.8440000000000001,0.306,0.214,5.3e-06,0.0839,-12.517999999999999,0.0356,0.10800000000000001,66.98,271093,dance pop pop urban contemporary
Cher,Believe,1998,76,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,0.45899999999999996,132.975,239027,
Foo Fighters,Everlong,1997,76,5.96e-05,0.41200000000000003,0.882,0.00031,0.0805,-5.54,0.0369,0.35600000000000004,158.066,250547,alternative metal alternative rock modern rock permanent wave post-grunge rock
2Pac Big Syke,All Eyez On Me (ft. Big Syke),1996,76,0.03,0.873,0.7190000000000001,0.0,0.33299999999999996,-5.9479999999999995,0.248,0.858,93.281,307773,g funk gangster rap hip hop rap west coast rap
Sixpence None The Richer,Kiss Me,1997,76,0.023,0.526,0.7490000000000001,1.76e-06,0.0692,-6.9639999999999995,0.0283,0.42100000000000004,99.98200000000001,208680,lilith neo mellow pop rock
Destiny s Child,Say My Name,1999,76,0.273,0.713,0.6779999999999999,0.0,0.149,-3.525,0.102,0.7340000000000001,138.009,271333,dance pop girl group hip pop pop r&b urban contemporary
Soundgarden,Black Hole Sun,1994,76,0.000217,0.35,0.828,0.000161,0.0774,-5.3729999999999976,0.040999999999999995,0.147,105.435,318587,alternative metal alternative rock grunge hard rock modern rock nu metal rock
The Notorious B I G,Juicy - 2005 Remaster,1994,76,0.47200000000000003,0.889,0.816,0.0,0.204,-4.67,0.247,0.777,96.056,302693,east coast hip hop gangster rap hardcore hip hop hip hop rap
U2,One,1991,76,0.245,0.392,0.534,0.0010400000000000001,0.155,-8.793,0.0369,0.325,181.305,276187,irish rock permanent wave rock
Blackstreet Dr Dre Queen Pen,No Diggity,1996,76,0.303,0.867,0.6459999999999999,0.0,0.27899999999999997,-4.6739999999999995,0.28800000000000003,0.67,88.634,304600,boy band dance pop hip hop hip pop neo soul new jack swing pop rap quiet storm r&b rap urban contemporary
The Offspring,The Kids Aren't Alright,1998,76,0.00704,0.523,0.943,3.81e-05,0.0579,-4.203,0.0337,0.7659999999999999,99.60700000000001,180160,alternative metal permanent wave punk rock skate punk socal pop punk
